,SA2 Code,SA2 Name,House_avg2006,House_avg2011,House_avg2016,House%2006_2011,House%2011_2016,House%2006_2016
97,506011115,Mount Nasura - Mount Richon - Bedfordale,2.66,2.73,2.69,0.03,-0.01,0.01
167,507051188,Rockingham,2.10,2.11,2.13,0.00,0.01,0.01
83,505031104,Marangaroo,2.89,2.90,2.92,0.00,0.01,0.01
52,505011073,Greenwood - Warwick,2.57,2.61,2.60,0.01,0.00,0.01
64,505021085,Balga - Mirrabooka,2.69,2.76,2.72,0.02,-0.01,0.01
51,505011072,Duncraig,2.81,2.81,2.84,0.00,0.01,0.01
170,507051191,Singleton - Golden Bay - Secret Harbour,3.10,3.16,3.12,0.02,-0.01,0.01
169,507051190,Safety Bay - Shoalwater,2.29,2.32,2.31,0.01,0.00,0.01
87,505031108,Wanneroo,2.70,2.72,2.72,0.01,0.00,0.01
60,505011081,Padbury,2.57,2.62,2.59,0.02,-0.01,0.01
92,506011110,Armadale - Wungong - Brookdale,2.47,2.45,2.49,-0.01,0.01,0.01
89,505031256,Carabooda - Pinjar,3.01,2.88,3.03,-0.04,0.05,0.00
119,506041137,Thornlie,2.79,2.78,2.79,0.00,0.01,0.00
1,502011022,Falcon - Wannanup,2.42,2.42,2.43,0.00,0.00,0.00
152,507031174,Parmelia - Orelia,2.52,2.56,2.53,0.01,-0.01,0.00
123,506051141,Lesmurdie - Bickley - Carmel,2.78,2.80,2.78,0.01,-0.01,0.00
47,504031068,The Vines,2.92,2.90,2.93,-0.01,0.01,0.00
78,505031099,Butler - Merriwa - Ridgewood,2.81,2.86,2.81,0.02,-0.02,0.00
82,505031103,Madeley - Darch - Landsdale,3.17,3.18,3.17,0.00,0.00,0.00
158,507041179,Bull Creek,2.69,2.63,2.68,-0.02,0.02,0.00
126,506061144,Serpentine - Jarrahdale,2.74,2.69,2.74,-0.02,0.02,0.00
5,502011026,Mandurah - East,2.41,2.35,2.40,-0.03,0.02,0.00
130,507011148,Banjup,3.16,3.08,3.14,-0.02,0.02,0.00
99,506011117,Seville Grove,3.02,2.94,3.00,-0.03,0.02,-0.01
134,507011153,Coolbellup,2.42,2.44,2.41,0.01,-0.01,-0.01
58,505011079,Mullaloo - Kallaroo,2.82,2.79,2.80,-0.01,0.00,-0.01
165,507051186,Cooloongup,2.51,2.50,2.48,0.00,-0.01,-0.01
84,505031105,Mindarie - Quinns Rocks - Jindalee,3.04,3.08,3.01,0.01,-0.02,-0.01
61,505011082,Sorrento - Marmion,2.78,2.75,2.75,-0.01,0.00,-0.01
115,506041133,Canning Vale - East,3.24,3.15,3.21,-0.03,0.02,-0.01
171,507051192,Waikiki,2.77,2.75,2.73,-0.01,-0.01,-0.01
96,506011114,Kelmscott,2.51,2.46,2.48,-0.02,0.01,-0.01
44,504031065,Middle Swan - Herne Hill,2.59,2.57,2.55,-0.01,-0.01,-0.01
39,504031060,Gidgegannup,2.95,2.88,2.91,-0.03,0.01,-0.02
124,506061142,Byford,3.04,3.03,2.99,0.00,-0.01,-0.02
54,505011075,Hillarys,2.91,2.88,2.86,-0.01,-0.01,-0.02
32,504021053,Mundaring,2.80,2.78,2.75,-0.01,-0.01,-0.02
29,504021050,Glen Forrest - Darlington,2.80,2.76,2.75,-0.01,-0.01,-0.02
38,504031059,Ellenbrook,3.00,3.02,2.95,0.01,-0.03,-0.02
122,506051140,Kalamunda - Maida Vale - Gooseberry Hill,2.64,2.62,2.59,-0.01,-0.01,-0.02
133,507011152,Coogee,2.81,2.76,2.75,-0.02,0.00,-0.02
55,505011076,Iluka - Burns Beach,3.30,3.30,3.22,0.00,-0.03,-0.02
53,505011074,Heathridge - Connolly,2.72,2.68,2.64,-0.01,-0.01,-0.03
98,506011116,Roleystone,2.82,2.84,2.75,0.00,-0.03,-0.03
155,507041176,Bateman,2.96,2.90,2.88,-0.02,-0.01,-0.03
33,504021054,Swan View - Greenmount - Midvale,2.56,2.53,2.49,-0.01,-0.01,-0.03
166,507051187,Port Kennedy,3.12,3.09,3.03,-0.01,-0.02,-0.03
0,502011021,Dawesville - Bouvard,2.66,2.63,2.58,-0.01,-0.02,-0.03
27,504011048,Noranda,2.79,2.73,2.70,-0.02,-0.01,-0.03
35,504031056,Ballajura,3.10,3.07,3.00,-0.01,-0.02,-0.03
79,505031100,Carramar,3.17,3.12,3.07,-0.02,-0.02,-0.03
3,502011024,Halls Head - Erskine,2.56,2.53,2.47,-0.01,-0.02,-0.03
139,507011160,Spearwood,2.50,2.44,2.41,-0.02,-0.01,-0.03
94,506011112,Camillo - Champion Lakes,2.68,2.70,2.58,0.01,-0.04,-0.04
121,506051139,High Wycombe,2.75,2.69,2.65,-0.02,-0.02,-0.04
57,505011078,Kingsley,2.78,2.70,2.66,-0.03,-0.01,-0.04
172,507051193,Warnbro,2.80,2.78,2.68,-0.01,-0.03,-0.04
107,506031125,Canning Vale - West,3.35,3.27,3.20,-0.02,-0.02,-0.05
56,505011077,Joondalup - Edgewater,2.65,2.60,2.53,-0.02,-0.03,-0.05
46,504031067,Stratton - Jane Brook,2.94,2.88,2.79,-0.02,-0.03,-0.05
143,507011260,Jandakot,3.05,3.04,2.89,0.00,-0.05,-0.05
142,507011259,Beeliar - Wattleup,3.02,3.00,2.86,-0.01,-0.05,-0.05
138,507011159,South Lake - Cockburn Central,2.64,2.62,2.50,-0.01,-0.04,-0.05
59,505011080,Ocean Reef,3.14,3.07,2.96,-0.02,-0.04,-0.05
163,507041184,Winthrop,3.28,3.21,3.10,-0.02,-0.04,-0.06
62,505011083,Woodvale,3.11,2.99,2.93,-0.04,-0.02,-0.06
28,504021049,Chidlow,2.85,2.66,2.68,-0.07,0.01,-0.06
150,507031172,Hope Valley - Postans,2.52,2.47,2.38,-0.02,-0.04,-0.06
80,505031101,Clarkson,2.91,2.80,2.74,-0.04,-0.02,-0.06
50,505011071,Currambine - Kinross,3.17,3.07,2.98,-0.03,-0.03,-0.06
159,507041180,Leeming,3.04,2.95,2.86,-0.03,-0.03,-0.06
2,502011023,Greenfields,2.53,2.44,2.37,-0.04,-0.03,-0.06
164,507051185,Baldivis,3.14,2.99,2.94,-0.05,-0.01,-0.06
161,507041182,Murdoch - Kardinya,2.79,2.71,2.61,-0.03,-0.04,-0.07
30,504021051,Helena Valley - Koongamia,2.80,2.71,2.60,-0.03,-0.04,-0.07
153,507031261,Casuarina - Wandi,3.28,3.09,2.84,-0.06,-0.08,-0.14
88,505031255,Alkimos - Eglinton,0.00,2.33,2.75,0.00,0.18,0.00
31,504021052,Malmalling - Reservoir,0.00,2.00,2.60,0.00,0.30,0.00
137,507011158,North Coogee,0.00,2.92,2.45,0.00,-0.16,0.00
16,503021037,Kings Park (WA),0.00,1.80,1.30,0.00,-0.28,0.00
136,507011155,Henderson,0.00,1.00,1.00,0.00,0.00,0.00
85,505031106,Neerabup National Park,0.00,0.00,0.00,0.00,0.00,0.00
147,507021167,O'Connor (WA),0.00,0.00,0.00,0.00,0.00,0.00
34,504031055,Avon Valley National Park,0.00,0.00,0.00,0.00,0.00,0.00
42,504031063,Malaga,0.00,0.60,0.00,0.00,0.00,0.00
43,504031064,Melaleuca - Lexia,0.00,0.00,0.00,0.00,0.00,0.00
48,504031069,Walyunga National Park,0.00,0.00,0.00,0.00,0.00,0.00
66,505021087,Herdsman,0.00,0.00,0.00,0.00,0.00,0.00
70,505021091,Osborne Park Industrial,0.00,0.00,0.00,0.00,0.00,0.00
93,506011111,Ashendon - Lesley,0.00,0.00,0.00,0.00,0.00,0.00
102,506021120,Kewdale Commercial,0.00,0.00,0.00,0.00,0.00,0.00
103,506021121,Perth Airport,0.00,0.00,0.00,0.00,0.00,0.00
108,506031126,Canning Vale Commercial,0.00,0.00,0.00,0.00,0.00,0.00
112,506031130,Welshpool,0.00,0.00,0.00,0.00,0.00,0.00
131,507011150,Bibra Industrial,0.00,0.00,0.00,0.00,0.00,0.00
132,507011151,Bibra Lake,,,,,,
168,507051189,Rockingham Lakes,,,,,,
