,SA2 Code,SA2 Name,Household Size,2006,2011,2016,,,,,,
453,505011071,Currambine - Kinross,3,846,870,919,,,,,,
454,505011071,Currambine - Kinross,4,1221,1209,1118,,,,,,
455,505011071,Currambine - Kinross,5,477,455,440,,,,,,
456,505011071,Currambine - Kinross,6,136,117,107,,,,,,
457,505011071,Currambine - Kinross,7,21,31,19,,,,,,
458,505011071,Currambine - Kinross,8,3,9,9,,,,,,
459,505011072,Duncraig,Total,5210,5224,5186,,,,,,
460,505011072,Duncraig,1,758,780,813,,,,,,
461,505011072,Duncraig,2,1777,1777,1688,,,,,,
462,505011072,Duncraig,3,945,960,889,,,,,,
463,505011072,Duncraig,4,1207,1195,1249,,,,,,
464,505011072,Duncraig,5,428,389,445,,,,,,
465,505011072,Duncraig,6,70,102,83,,,,,,
466,505011072,Duncraig,7,12,13,16,,,,,,
467,505011072,Duncraig,8,3,3,3,,,,,,
468,505011073,Greenwood - Warwick,Total,5045,5003,4919,,,,,,
469,505011073,Greenwood - Warwick,1,1018,992,953,,,,,,
470,505011073,Greenwood - Warwick,2,1881,1838,1850,,,,,,
471,505011073,Greenwood - Warwick,3,941,920,873,,,,,,
472,505011073,Greenwood - Warwick,4,801,825,823,,,,,,
473,505011073,Greenwood - Warwick,5,291,318,303,,,,,,
474,505011073,Greenwood - Warwick,6,90,85,79,,,,,,
475,505011073,Greenwood - Warwick,7,15,16,23,,,,,,
476,505011073,Greenwood - Warwick,8,8,13,8,,,,,,
477,505011074,Heathridge - Connolly,Total,3673,3766,3758,,,,,,
478,505011074,Heathridge - Connolly,1,652,689,743,,,,,,
479,505011074,Heathridge - Connolly,2,1233,1361,1313,,,,,,
480,505011074,Heathridge - Connolly,3,706,677,704,,,,,,
481,505011074,Heathridge - Connolly,4,720,677,659,,,,,,
482,505011074,Heathridge - Connolly,5,266,262,242,,,,,,
483,505011074,Heathridge - Connolly,6,78,89,67,,,,,,
484,505011074,Heathridge - Connolly,7,6,10,26,,,,,,
485,505011074,Heathridge - Connolly,8,3,3,3,,,,,,
486,505011075,Hillarys,Total,3391,3603,3671,,,,,,
487,505011075,Hillarys,1,438,480,508,,,,,,
488,505011075,Hillarys,2,1111,1262,1268,,,,,,
489,505011075,Hillarys,3,597,594,620,,,,,,
490,505011075,Hillarys,4,851,838,836,,,,,,
491,505011075,Hillarys,5,319,329,344,,,,,,
492,505011075,Hillarys,6,65,85,82,,,,,,
493,505011075,Hillarys,7,4,11,6,,,,,,
494,505011075,Hillarys,8,0,3,0,,,,,,
495,505011076,Iluka - Burns Beach,Total,1218,1855,2668,,,,,,
496,505011076,Iluka - Burns Beach,1,83,128,180,,,,,,
497,505011076,Iluka - Burns Beach,2,308,469,755,,,,,,
498,505011076,Iluka - Burns Beach,3,215,346,501,,,,,,
499,505011076,Iluka - Burns Beach,4,387,623,860,,,,,,
500,505011076,Iluka - Burns Beach,5,177,220,279,,,,,,
501,505011076,Iluka - Burns Beach,6,28,52,72,,,,,,
502,505011076,Iluka - Burns Beach,7,10,12,13,,,,,,
503,505011076,Iluka - Burns Beach,8,0,4,4,,,,,,
504,505011077,Joondalup - Edgewater,Total,4529,4867,4923,,,,,,
505,505011077,Joondalup - Edgewater,1,886,1016,1096,,,,,,
506,505011077,Joondalup - Edgewater,2,1580,1718,1800,,,,,,
507,505011077,Joondalup - Edgewater,3,802,864,871,,,,,,
508,505011077,Joondalup - Edgewater,4,825,840,790,,,,,,
509,505011077,Joondalup - Edgewater,5,315,318,257,,,,,,
510,505011077,Joondalup - Edgewater,6,95,79,69,,,,,,
511,505011077,Joondalup - Edgewater,7,10,10,23,,,,,,
512,505011077,Joondalup - Edgewater,8,7,15,14,,,,,,
513,505011078,Kingsley,Total,4617,4667,4622,,,,,,
514,505011078,Kingsley,1,793,880,929,,,,,,
515,505011078,Kingsley,2,1511,1573,1604,,,,,,
516,505011078,Kingsley,3,855,831,752,,,,,,
517,505011078,Kingsley,4,985,966,918,,,,,,
518,505011078,Kingsley,5,375,316,313,,,,,,
519,505011078,Kingsley,6,74,72,77,,,,,,
520,505011078,Kingsley,7,17,18,17,,,,,,
521,505011078,Kingsley,8,8,8,12,,,,,,
522,505011079,Mullaloo - Kallaroo,Total,3707,3804,3795,,,,,,
523,505011079,Mullaloo - Kallaroo,1,577,592,610,,,,,,
524,505011079,Mullaloo - Kallaroo,2,1261,1306,1296,,,,,,
525,505011079,Mullaloo - Kallaroo,3,672,668,654,,,,,,
526,505011079,Mullaloo - Kallaroo,4,804,799,827,,,,,,
527,505011079,Mullaloo - Kallaroo,5,301,341,324,,,,,,
528,505011079,Mullaloo - Kallaroo,6,80,75,66,,,,,,
529,505011079,Mullaloo - Kallaroo,7,11,4,20,,,,,,
530,505011079,Mullaloo - Kallaroo,8,9,4,0,,,,,,
531,505011080,Ocean Reef,Total,2542,2589,2578,,,,,,
532,505011080,Ocean Reef,1,275,288,312,,,,,,
533,505011080,Ocean Reef,2,729,796,853,,,,,,
534,505011080,Ocean Reef,3,479,478,457,,,,,,
535,505011080,Ocean Reef,4,670,662,612,,,,,,
536,505011080,Ocean Reef,5,280,270,259,,,,,,
537,505011080,Ocean Reef,6,91,76,68,,,,,,
538,505011080,Ocean Reef,7,18,20,9,,,,,,
539,505011080,Ocean Reef,8,6,6,5,,,,,,
540,505011081,Padbury,Total,3051,3081,3032,,,,,,
541,505011081,Padbury,1,633,629,624,,,,,,
542,505011081,Padbury,2,1098,1052,1073,,,,,,
543,505011081,Padbury,3,553,605,532,,,,,,
544,505011081,Padbury,4,532,538,552,,,,,,
545,505011081,Padbury,5,183,197,197,,,,,,
546,505011081,Padbury,6,33,49,37,,,,,,
547,505011081,Padbury,7,16,11,5,,,,,,
548,505011081,Padbury,8,0,3,3,,,,,,
549,505011082,Sorrento - Marmion,Total,3262,3312,3392,,,,,,
550,505011082,Sorrento - Marmion,1,551,580,586,,,,,,
551,505011082,Sorrento - Marmion,2,1098,1145,1218,,,,,,
552,505011082,Sorrento - Marmion,3,533,530,530,,,,,,
553,505011082,Sorrento - Marmion,4,722,722,722,,,,,,
554,505011082,Sorrento - Marmion,5,283,268,276,,,,,,
555,505011082,Sorrento - Marmion,6,64,57,58,,,,,,
556,505011082,Sorrento - Marmion,7,5,6,10,,,,,,
557,505011082,Sorrento - Marmion,8,0,5,3,,,,,,
558,505011083,Woodvale,Total,3066,3038,3144,,,,,,
559,505011083,Woodvale,1,392,407,443,,,,,,
560,505011083,Woodvale,2,811,881,955,,,,,,
561,505011083,Woodvale,3,542,569,603,,,,,,
562,505011083,Woodvale,4,872,801,788,,,,,,
563,505011083,Woodvale,5,378,293,282,,,,,,
564,505011083,Woodvale,6,69,72,64,,,,,,
565,505011083,Woodvale,7,10,11,10,,,,,,
566,505011083,Woodvale,8,3,3,5,,,,,,
567,505021084,Balcatta - Hamersley,Total,5904,6067,6058,,,,,,
568,505021084,Balcatta - Hamersley,1,1698,1745,1747,,,,,,
569,505021084,Balcatta - Hamersley,2,2190,2223,2113,,,,,,
570,505021084,Balcatta - Hamersley,3,918,930,972,,,,,,
571,505021084,Balcatta - Hamersley,4,733,745,807,,,,,,
572,505021084,Balcatta - Hamersley,5,259,295,298,,,,,,
573,505021084,Balcatta - Hamersley,6,86,102,92,,,,,,
574,505021084,Balcatta - Hamersley,7,17,7,15,,,,,,
575,505021084,Balcatta - Hamersley,8,7,13,14,,,,,,
576,505021085,Balga - Mirrabooka,Total,5452,6056,6819,,,,,,
577,505021085,Balga - Mirrabooka,1,1451,1589,1763,,,,,,
578,505021085,Balga - Mirrabooka,2,1596,1772,1952,,,,,,
579,505021085,Balga - Mirrabooka,3,883,950,1225,,,,,,
580,505021085,Balga - Mirrabooka,4,761,836,920,,,,,,
581,505021085,Balga - Mirrabooka,5,417,440,491,,,,,,
582,505021085,Balga - Mirrabooka,6,204,264,274,,,,,,
583,505021085,Balga - Mirrabooka,7,80,113,111,,,,,,
584,505021085,Balga - Mirrabooka,8,61,99,83,,,,,,
585,505021086,Dianella,Total,8664,8979,9182,,,,,,
586,505021086,Dianella,1,2575,2553,2523,,,,,,
587,505021086,Dianella,2,2938,2906,2981,,,,,,
588,505021086,Dianella,3,1116,1330,1394,,,,,,
589,505021086,Dianella,4,1304,1387,1419,,,,,,
590,505021086,Dianella,5,525,588,596,,,,,,
591,505021086,Dianella,6,165,152,178,,,,,,
592,505021086,Dianella,7,19,40,61,,,,,,
593,505021086,Dianella,8,29,24,35,,,,,,
594,505021087,Herdsman,Total,0,0,0,,,,,,
595,505021087,Herdsman,1,0,0,0,,,,,,
596,505021087,Herdsman,2,0,0,0,,,,,,
597,505021087,Herdsman,3,0,0,0,,,,,,
598,505021087,Herdsman,4,0,0,0,,,,,,
599,505021087,Herdsman,5,0,0,0,,,,,,
600,505021087,Herdsman,6,0,0,0,,,,,,
601,505021087,Herdsman,7,0,0,0,,,,,,
602,505021087,Herdsman,8,0,0,0,,,,,,
603,505021088,Innaloo - Doubleview,Total,5786,6303,6787,,,,,,
604,505021088,Innaloo - Doubleview,1,1886,1905,2050,,,,,,
605,505021088,Innaloo - Doubleview,2,2222,2313,2462,,,,,,
606,505021088,Innaloo - Doubleview,3,787,1019,1131,,,,,,
607,505021088,Innaloo - Doubleview,4,609,754,851,,,,,,
608,505021088,Innaloo - Doubleview,5,191,230,236,,,,,,
609,505021088,Innaloo - Doubleview,6,63,59,48,,,,,,
610,505021088,Innaloo - Doubleview,7,13,10,7,,,,,,
611,505021088,Innaloo - Doubleview,8,5,11,6,,,,,,
612,505021089,Karrinyup - Gwelup - Carine,Total,6213,6588,6907,,,,,,
613,505021089,Karrinyup - Gwelup - Carine,1,1152,1160,1208,,,,,,
614,505021089,Karrinyup - Gwelup - Carine,2,2159,2256,2327,,,,,,
615,505021089,Karrinyup - Gwelup - Carine,3,1066,1139,1136,,,,,,
616,505021089,Karrinyup - Gwelup - Carine,4,1314,1450,1587,,,,,,
617,505021089,Karrinyup - Gwelup - Carine,5,424,453,526,,,,,,
618,505021089,Karrinyup - Gwelup - Carine,6,77,93,101,,,,,,
619,505021089,Karrinyup - Gwelup - Carine,7,17,19,18,,,,,,
620,505021089,Karrinyup - Gwelup - Carine,8,4,12,12,,,,,,
621,505021090,Nollamara - Westminster,Total,4808,6144,7021,,,,,,
622,505021090,Nollamara - Westminster,1,1666,1912,2150,,,,,,
623,505021090,Nollamara - Westminster,2,1740,2202,2393,,,,,,
624,505021090,Nollamara - Westminster,3,631,993,1175,,,,,,
625,505021090,Nollamara - Westminster,4,457,600,813,,,,,,
626,505021090,Nollamara - Westminster,5,199,262,306,,,,,,
627,505021090,Nollamara - Westminster,6,66,105,130,,,,,,
628,505021090,Nollamara - Westminster,7,23,43,29,,,,,,
629,505021090,Nollamara - Westminster,8,23,27,22,,,,,,
630,505021091,Osborne Park Industrial,Total,3,0,0,,,,,,
631,505021091,Osborne Park Industrial,1,0,0,0,,,,,,
632,505021091,Osborne Park Industrial,2,0,0,0,,,,,,
633,505021091,Osborne Park Industrial,3,0,0,0,,,,,,
634,505021091,Osborne Park Industrial,4,0,0,0,,,,,,
635,505021091,Osborne Park Industrial,5,0,0,0,,,,,,
636,505021091,Osborne Park Industrial,6,0,0,0,,,,,,
637,505021091,Osborne Park Industrial,7,0,0,0,,,,,,
638,505021091,Osborne Park Industrial,8,0,0,0,,,,,,
639,505021092,Scarborough,Total,5638,6106,6623,,,,,,
640,505021092,Scarborough,1,2203,2131,2211,,,,,,
641,505021092,Scarborough,2,2168,2402,2543,,,,,,
642,505021092,Scarborough,3,669,866,963,,,,,,
643,505021092,Scarborough,4,448,517,672,,,,,,
644,505021092,Scarborough,5,122,147,187,,,,,,
645,505021092,Scarborough,6,28,23,37,,,,,,
646,505021092,Scarborough,7,3,4,8,,,,,,
647,505021092,Scarborough,8,3,8,3,,,,,,
648,505021093,Stirling - Osborne Park,Total,4164,5101,5253,,,,,,
649,505021093,Stirling - Osborne Park,1,1360,1405,1408,,,,,,
650,505021093,Stirling - Osborne Park,2,1379,1713,1754,,,,,,
651,505021093,Stirling - Osborne Park,3,603,799,835,,,,,,
652,505021093,Stirling - Osborne Park,4,549,800,855,,,,,,
653,505021093,Stirling - Osborne Park,5,209,277,303,,,,,,
654,505021093,Stirling - Osborne Park,6,64,78,72,,,,,,
655,505021093,Stirling - Osborne Park,7,15,11,17,,,,,,
656,505021093,Stirling - Osborne Park,8,3,6,6,,,,,,
657,505021094,Trigg - North Beach - Watermans Bay,Total,2714,2733,2868,,,,,,
658,505021094,Trigg - North Beach - Watermans Bay,1,829,757,738,,,,,,
659,505021094,Trigg - North Beach - Watermans Bay,2,924,973,1009,,,,,,
660,505021094,Trigg - North Beach - Watermans Bay,3,395,402,403,,,,,,
661,505021094,Trigg - North Beach - Watermans Bay,4,394,417,487,,,,,,
662,505021094,Trigg - North Beach - Watermans Bay,5,140,152,189,,,,,,
663,505021094,Trigg - North Beach - Watermans Bay,6,32,25,32,,,,,,
664,505021094,Trigg - North Beach - Watermans Bay,7,4,3,3,,,,,,
665,505021094,Trigg - North Beach - Watermans Bay,8,0,3,3,,,,,,
666,505021095,Tuart Hill - Joondanna,Total,5039,5245,5399,,,,,,
667,505021095,Tuart Hill - Joondanna,1,2372,2211,2167,,,,,,
668,505021095,Tuart Hill - Joondanna,2,1740,1817,1833,,,,,,
669,505021095,Tuart Hill - Joondanna,3,498,632,724,,,,,,
670,505021095,Tuart Hill - Joondanna,4,307,411,478,,,,,,
671,505021095,Tuart Hill - Joondanna,5,86,117,124,,,,,,
672,505021095,Tuart Hill - Joondanna,6,36,38,49,,,,,,
673,505021095,Tuart Hill - Joondanna,7,0,12,4,,,,,,
674,505021095,Tuart Hill - Joondanna,8,3,3,12,,,,,,
675,505021096,Wembley Downs - Churchlands - Woodlands,Total,4420,4667,4979,,,,,,
676,505021096,Wembley Downs - Churchlands - Woodlands,1,1171,1092,1086,,,,,,
677,505021096,Wembley Downs - Churchlands - Woodlands,2,1525,1545,1589,,,,,,
678,505021096,Wembley Downs - Churchlands - Woodlands,3,574,687,761,,,,,,
679,505021096,Wembley Downs - Churchlands - Woodlands,4,738,884,1029,,,,,,
680,505021096,Wembley Downs - Churchlands - Woodlands,5,332,368,390,,,,,,
681,505021096,Wembley Downs - Churchlands - Woodlands,6,63,77,95,,,,,,
682,505021096,Wembley Downs - Churchlands - Woodlands,7,13,12,20,,,,,,
683,505021096,Wembley Downs - Churchlands - Woodlands,8,3,6,4,,,,,,
684,505021097,Yokine - Coolbinia - Menora,Total,6055,6251,6409,,,,,,
685,505021097,Yokine - Coolbinia - Menora,1,2423,2254,2156,,,,,,
686,505021097,Yokine - Coolbinia - Menora,2,2018,2083,2192,,,,,,
687,505021097,Yokine - Coolbinia - Menora,3,719,841,854,,,,,,
688,505021097,Yokine - Coolbinia - Menora,4,593,715,830,,,,,,
689,505021097,Yokine - Coolbinia - Menora,5,228,264,272,,,,,,
690,505021097,Yokine - Coolbinia - Menora,6,64,77,77,,,,,,
691,505021097,Yokine - Coolbinia - Menora,7,12,12,18,,,,,,
692,505021097,Yokine - Coolbinia - Menora,8,8,8,4,,,,,,
693,505031098,Alexander Heights - Koondoola,Total,3678,3821,3830,,,,,,
694,505031098,Alexander Heights - Koondoola,1,648,734,716,,,,,,
695,505031098,Alexander Heights - Koondoola,2,1030,1134,1070,,,,,,
696,505031098,Alexander Heights - Koondoola,3,715,689,739,,,,,,
697,505031098,Alexander Heights - Koondoola,4,753,679,708,,,,,,
698,505031098,Alexander Heights - Koondoola,5,345,333,334,,,,,,
699,505031098,Alexander Heights - Koondoola,6,124,164,134,,,,,,
700,505031098,Alexander Heights - Koondoola,7,34,50,74,,,,,,
701,505031098,Alexander Heights - Koondoola,8,24,37,59,,,,,,
702,505031099,Butler - Merriwa - Ridgewood,Total,3895,6231,7640,,,,,,
703,505031099,Butler - Merriwa - Ridgewood,1,687,1065,1504,,,,,,
704,505031099,Butler - Merriwa - Ridgewood,2,1359,2060,2371,,,,,,
705,505031099,Butler - Merriwa - Ridgewood,3,615,1004,1356,,,,,,
706,505031099,Butler - Merriwa - Ridgewood,4,727,1269,1439,,,,,,
707,505031099,Butler - Merriwa - Ridgewood,5,331,538,638,,,,,,
708,505031099,Butler - Merriwa - Ridgewood,6,128,216,230,,,,,,
709,505031099,Butler - Merriwa - Ridgewood,7,30,49,59,,,,,,
710,505031099,Butler - Merriwa - Ridgewood,8,17,30,48,,,,,,
711,505031100,Carramar,Total,2078,3528,5212,,,,,,
712,505031100,Carramar,1,193,373,641,,,,,,
713,505031100,Carramar,2,587,1007,1489,,,,,,
714,505031100,Carramar,3,444,717,1101,,,,,,
715,505031100,Carramar,4,500,900,1223,,,,,,
716,505031100,Carramar,5,243,366,513,,,,,,
717,505031100,Carramar,6,80,114,166,,,,,,
718,505031100,Carramar,7,17,30,48,,,,,,
719,505031100,Carramar,8,9,18,33,,,,,,
720,505031101,Clarkson,Total,2321,3845,4457,,,,,,
721,505031101,Clarkson,1,344,660,829,,,,,,
722,505031101,Clarkson,2,765,1242,1475,,,,,,
723,505031101,Clarkson,3,432,799,923,,,,,,
724,505031101,Clarkson,4,453,690,755,,,,,,
725,505031101,Clarkson,5,218,296,313,,,,,,
726,505031101,Clarkson,6,82,95,125,,,,,,
727,505031101,Clarkson,7,17,36,27,,,,,,
728,505031101,Clarkson,8,9,21,16,,,,,,
729,505031102,Girrawheen,Total,2925,2995,3036,,,,,,
730,505031102,Girrawheen,1,811,819,805,,,,,,
731,505031102,Girrawheen,2,930,934,860,,,,,,
732,505031102,Girrawheen,3,477,475,514,,,,,,
733,505031102,Girrawheen,4,391,388,439,,,,,,
734,505031102,Girrawheen,5,183,209,205,,,,,,
735,505031102,Girrawheen,6,89,102,105,,,,,,
736,505031102,Girrawheen,7,23,28,55,,,,,,
737,505031102,Girrawheen,8,24,42,54,,,,,,
738,505031103,Madeley - Darch - Landsdale,Total,3554,5845,7735,,,,,,
739,505031103,Madeley - Darch - Landsdale,1,370,647,906,,,,,,
740,505031103,Madeley - Darch - Landsdale,2,1029,1551,2035,,,,,,
741,505031103,Madeley - Darch - Landsdale,3,615,1153,1478,,,,,,
742,505031103,Madeley - Darch - Landsdale,4,994,1581,2108,,,,,,
743,505031103,Madeley - Darch - Landsdale,5,386,631,808,,,,,,
744,505031103,Madeley - Darch - Landsdale,6,119,198,269,,,,,,
745,505031103,Madeley - Darch - Landsdale,7,35,54,78,,,,,,
746,505031103,Madeley - Darch - Landsdale,8,16,42,58,,,,,,
747,505031104,Marangaroo,Total,3371,3463,3416,,,,,,
748,505031104,Marangaroo,1,632,648,657,,,,,,
749,505031104,Marangaroo,2,990,998,974,,,,,,
750,505031104,Marangaroo,3,585,624,633,,,,,,
751,505031104,Marangaroo,4,714,691,632,,,,,,
752,505031104,Marangaroo,5,281,300,306,,,,,,
753,505031104,Marangaroo,6,126,132,132,,,,,,
754,505031104,Marangaroo,7,35,42,49,,,,,,
755,505031104,Marangaroo,8,15,21,36,,,,,,
756,505031105,Mindarie - Quinns Rocks - Jindalee,Total,4525,5463,5997,,,,,,
757,505031105,Mindarie - Quinns Rocks - Jindalee,1,541,635,752,,,,,,
758,505031105,Mindarie - Quinns Rocks - Jindalee,2,1434,1646,1842,,,,,,
759,505031105,Mindarie - Quinns Rocks - Jindalee,3,771,964,1162,,,,,,
760,505031105,Mindarie - Quinns Rocks - Jindalee,4,1105,1416,1456,,,,,,
761,505031105,Mindarie - Quinns Rocks - Jindalee,5,480,566,570,,,,,,
762,505031105,Mindarie - Quinns Rocks - Jindalee,6,154,175,174,,,,,,
763,505031105,Mindarie - Quinns Rocks - Jindalee,7,34,38,27,,,,,,
764,505031105,Mindarie - Quinns Rocks - Jindalee,8,7,22,26,,,,,,
765,505031106,Neerabup National Park,Total,0,0,4,,,,,,
766,505031106,Neerabup National Park,1,0,0,0,,,,,,
767,505031106,Neerabup National Park,2,0,0,0,,,,,,
768,505031106,Neerabup National Park,3,0,0,0,,,,,,
769,505031106,Neerabup National Park,4,0,0,0,,,,,,
770,505031106,Neerabup National Park,5,0,0,0,,,,,,
771,505031106,Neerabup National Park,6,0,0,0,,,,,,
772,505031106,Neerabup National Park,7,0,0,0,,,,,,
773,505031106,Neerabup National Park,8,0,0,0,,,,,,
774,505031107,Tapping - Ashby - Sinagra,Total,2041,4062,4284,,,,,,
775,505031107,Tapping - Ashby - Sinagra,1,358,557,659,,,,,,
776,505031107,Tapping - Ashby - Sinagra,2,719,1250,1190,,,,,,
777,505031107,Tapping - Ashby - Sinagra,3,337,757,788,,,,,,
778,505031107,Tapping - Ashby - Sinagra,4,384,942,1056,,,,,,
779,505031107,Tapping - Ashby - Sinagra,5,173,380,410,,,,,,
780,505031107,Tapping - Ashby - Sinagra,6,56,133,129,,,,,,
781,505031107,Tapping - Ashby - Sinagra,7,15,35,33,,,,,,
782,505031107,Tapping - Ashby - Sinagra,8,0,14,18,,,,,,
783,505031108,Wanneroo,Total,6382,8057,8939,,,,,,
784,505031108,Wanneroo,1,1182,1568,1690,,,,,,
785,505031108,Wanneroo,2,2286,2813,3031,,,,,,
786,505031108,Wanneroo,3,1132,1375,1631,,,,,,
787,505031108,Wanneroo,4,1100,1388,1648,,,,,,
788,505031108,Wanneroo,5,454,615,648,,,,,,
789,505031108,Wanneroo,6,179,214,208,,,,,,
790,505031108,Wanneroo,7,33,52,55,,,,,,
791,505031108,Wanneroo,8,17,42,27,,,,,,
792,505031255,Alkimos - Eglinton,Total,0,24,2677,,,,,,
793,505031255,Alkimos - Eglinton,1,0,3,419,,,,,,
794,505031255,Alkimos - Eglinton,2,0,13,918,,,,,,
795,505031255,Alkimos - Eglinton,3,0,0,563,,,,,,
796,505031255,Alkimos - Eglinton,4,0,3,532,,,,,,
797,505031255,Alkimos - Eglinton,5,0,3,191,,,,,,
798,505031255,Alkimos - Eglinton,6,0,0,43,,,,,,
799,505031255,Alkimos - Eglinton,7,0,0,8,,,,,,
800,505031255,Alkimos - Eglinton,8,0,0,3,,,,,,
801,505031256,Carabooda - Pinjar,Total,233,227,219,,,,,,
802,505031256,Carabooda - Pinjar,1,48,45,39,,,,,,
803,505031256,Carabooda - Pinjar,2,63,59,63,,,,,,
804,505031256,Carabooda - Pinjar,3,28,28,38,,,,,,
805,505031256,Carabooda - Pinjar,4,43,45,39,,,,,,
806,505031256,Carabooda - Pinjar,5,31,25,26,,,,,,
807,505031256,Carabooda - Pinjar,6,16,17,11,,,,,,
808,505031256,Carabooda - Pinjar,7,3,0,0,,,,,,
809,505031256,Carabooda - Pinjar,8,0,0,4,,,,,,
810,505031257,Two Rocks,Total,687,819,1027,,,,,,
811,505031257,Two Rocks,1,169,197,228,,,,,,
812,505031257,Two Rocks,2,283,323,349,,,,,,
813,505031257,Two Rocks,3,96,105,168,,,,,,
814,505031257,Two Rocks,4,73,126,170,,,,,,
815,505031257,Two Rocks,5,42,44,80,,,,,,
816,505031257,Two Rocks,6,10,13,22,,,,,,
817,505031257,Two Rocks,7,3,6,5,,,,,,
818,505031257,Two Rocks,8,0,3,0,,,,,,
819,505031258,Yanchep,Total,902,1503,2904,,,,,,
820,505031258,Yanchep,1,185,286,510,,,,,,
821,505031258,Yanchep,2,356,539,995,,,,,,
822,505031258,Yanchep,3,141,263,524,,,,,,
823,505031258,Yanchep,4,139,256,546,,,,,,
824,505031258,Yanchep,5,60,101,211,,,,,,
825,505031258,Yanchep,6,17,42,101,,,,,,
826,505031258,Yanchep,7,4,7,12,,,,,,
827,505031258,Yanchep,8,3,0,11,,,,,,
828,506011110,Armadale - Wungong - Brookdale,Total,5289,6077,6940,,,,,,
829,506011110,Armadale - Wungong - Brookdale,1,1547,1810,1958,,,,,,
830,506011110,Armadale - Wungong - Brookdale,2,1745,1991,2243,,,,,,
831,506011110,Armadale - Wungong - Brookdale,3,802,957,1218,,,,,,
832,506011110,Armadale - Wungong - Brookdale,4,647,719,849,,,,,,
833,506011110,Armadale - Wungong - Brookdale,5,323,351,378,,,,,,
834,506011110,Armadale - Wungong - Brookdale,6,152,164,194,,,,,,
835,506011110,Armadale - Wungong - Brookdale,7,37,41,51,,,,,,
836,506011110,Armadale - Wungong - Brookdale,8,34,43,45,,,,,,
837,506011111,Ashendon - Lesley,Total,0,0,0,,,,,,
838,506011111,Ashendon - Lesley,1,0,0,0,,,,,,
839,506011111,Ashendon - Lesley,2,0,0,0,,,,,,
840,506011111,Ashendon - Lesley,3,0,0,0,,,,,,
841,506011111,Ashendon - Lesley,4,0,0,0,,,,,,
842,506011111,Ashendon - Lesley,5,0,0,0,,,,,,
843,506011111,Ashendon - Lesley,6,0,0,0,,,,,,
844,506011111,Ashendon - Lesley,7,0,0,0,,,,,,
845,506011111,Ashendon - Lesley,8,0,0,0,,,,,,
846,506011112,Camillo - Champion Lakes,Total,1774,1830,1989,,,,,,
847,506011112,Camillo - Champion Lakes,1,393,420,468,,,,,,
848,506011112,Camillo - Champion Lakes,2,576,598,657,,,,,,
849,506011112,Camillo - Champion Lakes,3,319,326,381,,,,,,
850,506011112,Camillo - Champion Lakes,4,273,282,263,,,,,,
851,506011112,Camillo - Champion Lakes,5,132,125,120,,,,,,
852,506011112,Camillo - Champion Lakes,6,60,51,64,,,,,,
853,506011112,Camillo - Champion Lakes,7,11,23,15,,,,,,
854,506011112,Camillo - Champion Lakes,8,8,15,9,,,,,,
855,506011113,Forrestdale - Harrisdale - Piara Waters,Total,402,2462,6213,,,,,,
856,506011113,Forrestdale - Harrisdale - Piara Waters,1,64,262,708,,,,,,
857,506011113,Forrestdale - Harrisdale - Piara Waters,2,148,878,1818,,,,,,
858,506011113,Forrestdale - Harrisdale - Piara Waters,3,71,478,1401,,,,,,
859,506011113,Forrestdale - Harrisdale - Piara Waters,4,76,520,1489,,,,,,
860,506011113,Forrestdale - Harrisdale - Piara Waters,5,34,227,571,,,,,,
861,506011113,Forrestdale - Harrisdale - Piara Waters,6,4,79,161,,,,,,
862,506011113,Forrestdale - Harrisdale - Piara Waters,7,3,6,38,,,,,,
863,506011113,Forrestdale - Harrisdale - Piara Waters,8,4,3,32,,,,,,
864,506011114,Kelmscott,Total,3513,3737,3895,,,,,,
865,506011114,Kelmscott,1,858,952,1064,,,,,,
866,506011114,Kelmscott,2,1257,1362,1347,,,,,,
867,506011114,Kelmscott,3,569,630,652,,,,,,
868,506011114,Kelmscott,4,502,504,482,,,,,,
869,506011114,Kelmscott,5,203,185,220,,,,,,
870,506011114,Kelmscott,6,78,72,87,,,,,,
871,506011114,Kelmscott,7,20,19,26,,,,,,
872,506011114,Kelmscott,8,14,13,26,,,,,,
873,506011115,Mount Nasura - Mount Richon - Bedfordale,Total,2563,2561,2754,,,,,,
874,506011115,Mount Nasura - Mount Richon - Bedfordale,1,496,419,477,,,,,,
875,506011115,Mount Nasura - Mount Richon - Bedfordale,2,1006,1033,1122,,,,,,
876,506011115,Mount Nasura - Mount Richon - Bedfordale,3,391,404,414,,,,,,
877,506011115,Mount Nasura - Mount Richon - Bedfordale,4,393,431,438,,,,,,
878,506011115,Mount Nasura - Mount Richon - Bedfordale,5,177,167,189,,,,,,
879,506011115,Mount Nasura - Mount Richon - Bedfordale,6,88,79,83,,,,,,
880,506011115,Mount Nasura - Mount Richon - Bedfordale,7,14,20,20,,,,,,
881,506011115,Mount Nasura - Mount Richon - Bedfordale,8,6,14,14,,,,,,
882,506011116,Roleystone,Total,2136,2346,2426,,,,,,
883,506011116,Roleystone,1,285,309,385,,,,,,
884,506011116,Roleystone,2,820,908,908,,,,,,
885,506011116,Roleystone,3,372,402,407,,,,,,
886,506011116,Roleystone,4,399,459,449,,,,,,
887,506011116,Roleystone,5,186,201,190,,,,,,
888,506011116,Roleystone,6,63,62,65,,,,,,
