,SA2 Code,SA2 Name,Household Size,2006,2011,2016,,,,,,
109,503011033,Floreat,1,450,411,400,,,,,,
110,503011033,Floreat,2,724,664,667,,,,,,
111,503011033,Floreat,3,349,354,410,,,,,,
112,503011033,Floreat,4,525,630,673,,,,,,
113,503011033,Floreat,5,274,273,301,,,,,,
114,503011033,Floreat,6,59,68,68,,,,,,
115,503011033,Floreat,7,4,5,8,,,,,,
116,503011033,Floreat,8,3,0,0,,,,,,
117,503011034,Mosman Park - Peppermint Grove,Total,3677,3850,3817,,,,,,
118,503011034,Mosman Park - Peppermint Grove,1,1290,1234,1148,,,,,,
119,503011034,Mosman Park - Peppermint Grove,2,1112,1224,1235,,,,,,
120,503011034,Mosman Park - Peppermint Grove,3,474,503,507,,,,,,
121,503011034,Mosman Park - Peppermint Grove,4,497,575,594,,,,,,
122,503011034,Mosman Park - Peppermint Grove,5,237,235,264,,,,,,
123,503011034,Mosman Park - Peppermint Grove,6,58,65,59,,,,,,
124,503011034,Mosman Park - Peppermint Grove,7,6,8,5,,,,,,
125,503011034,Mosman Park - Peppermint Grove,8,3,3,3,,,,,,
126,503011035,Nedlands - Dalkeith - Crawley,Total,5878,5956,6012,,,,,,
127,503011035,Nedlands - Dalkeith - Crawley,1,1556,1316,1293,,,,,,
128,503011035,Nedlands - Dalkeith - Crawley,2,1853,1907,1939,,,,,,
129,503011035,Nedlands - Dalkeith - Crawley,3,861,972,960,,,,,,
130,503011035,Nedlands - Dalkeith - Crawley,4,1003,1102,1136,,,,,,
131,503011035,Nedlands - Dalkeith - Crawley,5,471,513,541,,,,,,
132,503011035,Nedlands - Dalkeith - Crawley,6,107,114,121,,,,,,
133,503011035,Nedlands - Dalkeith - Crawley,7,19,20,20,,,,,,
134,503011035,Nedlands - Dalkeith - Crawley,8,3,8,6,,,,,,
135,503011036,Swanbourne - Mount Claremont,Total,2745,2833,2950,,,,,,
136,503011036,Swanbourne - Mount Claremont,1,646,662,671,,,,,,
137,503011036,Swanbourne - Mount Claremont,2,830,880,894,,,,,,
