,SA2 Name,Income_total_2006,Income_total_2011,Income_total_2016,change2006_2011,change2011_2016,change2006_2016,Income%2006_2011,Income%2011_2016,Income%2006_2016
82,Madeley - Darch - Landsdale,1249.00,1999.00,2499.00,750.00,500.00,1250.00,0.60,0.25,1.00
95,Forrestdale - Harrisdale - Piara Waters,1249.00,1999.00,2499.00,750.00,500.00,1250.00,0.60,0.25,1.00
105,Victoria Park - Lathlain - Burswood,1249.00,1999.00,2499.00,750.00,500.00,1250.00,0.60,0.25,1.00
110,Parkwood - Ferndale - Lynwood,1249.00,999.00,2499.00,-250.00,1500.00,1250.00,-0.20,1.50,1.00
113,Willetton,1249.00,1999.00,2499.00,750.00,500.00,1250.00,0.60,0.25,1.00
127,Como,1249.00,1999.00,2499.00,750.00,500.00,1250.00,0.60,0.25,1.00
129,South Perth - Kensington,1249.00,2999.00,2499.00,1750.00,-500.00,1250.00,1.40,-0.17,1.00
130,Banjup,1249.00,1999.00,2499.00,750.00,500.00,1250.00,0.60,0.25,1.00
140,Success - Hammond Park,1249.00,1999.00,2499.00,750.00,500.00,1250.00,0.60,0.25,1.00
148,Bertram - Wellard (West),1249.00,1999.00,2499.00,750.00,500.00,1250.00,0.60,0.25,1.00
155,Bateman,1249.00,1999.00,2499.00,750.00,500.00,1250.00,0.60,0.25,1.00
159,Leeming,1249.00,1999.00,2499.00,750.00,500.00,1250.00,0.60,0.25,1.00
160,Melville,1249.00,1999.00,2499.00,750.00,500.00,1250.00,0.60,0.25,1.00
161,Murdoch - Kardinya,1249.00,1999.00,2499.00,750.00,500.00,1250.00,0.60,0.25,1.00
170,Singleton - Golden Bay - Secret Harbour,1249.00,1999.00,2499.00,750.00,500.00,1250.00,0.60,0.25,1.00
15,Swanbourne - Mount Claremont,1999.00,2999.00,3999.00,1000.00,1000.00,2000.00,0.50,0.33,1.00
162,Willagee,299.00,399.00,499.00,100.00,100.00,200.00,0.33,0.25,0.67
0,Dawesville - Bouvard,599.00,599.00,799.00,0.00,200.00,200.00,0.00,0.33,0.33
2,Greenfields,599.00,599.00,799.00,0.00,200.00,200.00,0.00,0.33,0.33
3,Halls Head - Erskine,599.00,1999.00,799.00,1400.00,-1200.00,200.00,2.34,-0.60,0.33
7,Mandurah - South,599.00,599.00,799.00,0.00,200.00,200.00,0.00,0.33,0.33
8,Pinjarra,599.00,599.00,799.00,0.00,200.00,200.00,0.00,0.33,0.33
11,Cottesloe,2999.00,3000.00,3999.00,1.00,999.00,1000.00,0.00,0.33,0.33
12,Floreat,2999.00,3000.00,3999.00,1.00,999.00,1000.00,0.00,0.33,0.33
4,Mandurah,399.00,599.00,499.00,200.00,-100.00,100.00,0.50,-0.17,0.25
167,Rockingham,399.00,599.00,499.00,200.00,-100.00,100.00,0.50,-0.17,0.25
51,Duncraig,1999.00,1999.00,2499.00,0.00,500.00,500.00,0.00,0.25,0.25
55,Iluka - Burns Beach,1999.00,2999.00,2499.00,1000.00,-500.00,500.00,0.50,-0.17,0.25
59,Ocean Reef,1999.00,2999.00,2499.00,1000.00,-500.00,500.00,0.50,-0.17,0.25
61,Sorrento - Marmion,1999.00,3000.00,2499.00,1001.00,-501.00,500.00,0.50,-0.17,0.25
86,Tapping - Ashby - Sinagra,1999.00,1999.00,2499.00,0.00,500.00,500.00,0.00,0.25,0.25
107,Canning Vale - West,1999.00,2999.00,2499.00,1000.00,-500.00,500.00,0.50,-0.17,0.25
115,Canning Vale - East,1999.00,2999.00,2499.00,1000.00,-500.00,500.00,0.50,-0.17,0.25
158,Bull Creek,1999.00,1999.00,2499.00,0.00,500.00,500.00,0.00,0.25,0.25
164,Baldivis,1999.00,1999.00,2499.00,0.00,500.00,500.00,0.00,0.25,0.25
