,SA2 Name,SA2 Code,2006 Total,2011 Total,2016 Total,2006 Bachelor 25 and over,2011 Bachelor 25 and over,2016 Bachelor 25 and over,2006%,2011%,2016%,Bachelor%2006-2011,Bacherlor%2011-2016,Bacherlor%2006-2016
29,Glen Forrest - Darlington,504021050,3450.00,3687.00,3876.00,1302.00,1446.00,1666.00,0.38,0.39,0.43,0.01,0.04,0.05
169,Safety Bay - Shoalwater,507051190,4420.00,5130.00,5633.00,620.00,915.00,1082.00,0.14,0.18,0.19,0.04,0.01,0.05
38,Ellenbrook,504031059,4811.00,8917.00,15733.00,881.00,1830.00,3629.00,0.18,0.21,0.23,0.02,0.03,0.05
122,Kalamunda - Maida Vale - Gooseberry Hill,506051140,6775.00,7133.00,7749.00,1881.00,2165.00,2517.00,0.28,0.30,0.32,0.03,0.02,0.05
165,Cooloongup,507051186,3032.00,3300.00,3547.00,192.00,301.00,391.00,0.06,0.09,0.11,0.03,0.02,0.05
3,Halls Head - Erskine,502011024,5706.00,7418.00,8534.00,893.00,1285.00,1718.00,0.16,0.17,0.20,0.02,0.03,0.04
9,City Beach,503011030,3208.00,3438.00,3718.00,1756.00,1988.00,2201.00,0.55,0.58,0.59,0.03,0.01,0.04
7,Mandurah - South,502011028,3154.00,3809.00,4524.00,308.00,503.00,640.00,0.10,0.13,0.14,0.03,0.01,0.04
0,Dawesville - Bouvard,502011021,1768.00,2218.00,3309.00,241.00,381.00,594.00,0.14,0.17,0.18,0.04,0.01,0.04
125,Mundijong,506061143,1770.00,2207.00,2736.00,256.00,385.00,511.00,0.14,0.17,0.19,0.03,0.01,0.04
33,Swan View - Greenmount - Midvale,504021054,4600.00,4952.00,5425.00,723.00,885.00,1070.00,0.16,0.18,0.20,0.02,0.02,0.04
97,Mount Nasura - Mount Richon - Bedfordale,506011115,3160.00,3384.00,3881.00,604.00,723.00,891.00,0.19,0.21,0.23,0.02,0.02,0.04
123,Lesmurdie - Bickley - Carmel,506051141,5095.00,5284.00,5719.00,1434.00,1579.00,1823.00,0.28,0.30,0.32,0.02,0.02,0.04
2,Greenfields,502011023,3243.00,3599.00,3985.00,325.00,407.00,548.00,0.10,0.11,0.14,0.01,0.02,0.04
46,Stratton - Jane Brook,504031067,2195.00,2431.00,2765.00,319.00,403.00,504.00,0.15,0.17,0.18,0.02,0.02,0.04
1,Falcon - Wannanup,502011022,2465.00,3206.00,4187.00,374.00,548.00,789.00,0.15,0.17,0.19,0.02,0.02,0.04
172,Warnbro,507051193,4111.00,4323.00,4643.00,460.00,563.00,685.00,0.11,0.13,0.15,0.02,0.02,0.04
6,Mandurah - North,502011027,2751.00,5334.00,8030.00,467.00,950.00,1623.00,0.17,0.18,0.20,0.01,0.02,0.03
32,Mundaring,504021053,5128.00,5834.00,6450.00,1196.00,1461.00,1710.00,0.23,0.25,0.27,0.02,0.01,0.03
78,Butler - Merriwa - Ridgewood,505031099,4106.00,7598.00,9955.00,592.00,1245.00,1739.00,0.14,0.16,0.17,0.02,0.01,0.03
30,Helena Valley - Koongamia,504021051,1584.00,2023.00,2540.00,350.00,461.00,633.00,0.22,0.23,0.25,0.01,0.02,0.03
5,Mandurah - East,502011026,1973.00,2074.00,2534.00,215.00,243.00,345.00,0.11,0.12,0.14,0.01,0.02,0.03
170,Singleton - Golden Bay - Secret Harbour,507051191,3916.00,6279.00,8682.00,711.00,1304.00,1812.00,0.18,0.21,0.21,0.03,0.00,0.03
166,Port Kennedy,507051187,4515.00,5408.00,5862.00,529.00,688.00,842.00,0.12,0.13,0.14,0.01,0.02,0.03
8,Pinjarra,502011029,1817.00,2838.00,3946.00,181.00,357.00,496.00,0.10,0.13,0.13,0.03,0.00,0.03
47,The Vines,504031068,1771.00,2373.00,4671.00,431.00,655.00,1232.00,0.24,0.28,0.26,0.03,-0.01,0.02
164,Baldivis,507051185,2614.00,6897.00,14928.00,453.00,1293.00,2877.00,0.17,0.19,0.19,0.01,0.01,0.02
98,Roleystone,506011116,2867.00,3226.00,3599.00,794.00,952.00,1059.00,0.28,0.30,0.29,0.02,0.00,0.02
90,Two Rocks,505031257,715.00,877.00,1396.00,87.00,109.00,189.00,0.12,0.12,0.14,0.00,0.01,0.01
91,Yanchep,505031258,1028.00,1975.00,4090.00,150.00,297.00,646.00,0.15,0.15,0.16,0.00,0.01,0.01
39,Gidgegannup,504031060,1004.00,1182.00,1396.00,239.00,291.00,334.00,0.24,0.25,0.24,0.01,-0.01,0.00
31,Malmalling - Reservoir,504021052,0.00,10.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,Malaga,504031063,18.00,6.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
103,Perth Airport,506021121,15.00,53.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
112,Welshpool,506031130,4.00,12.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
131,Bibra Industrial,507011150,6.00,8.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
136,Henderson,507011155,5.00,3.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
147,O'Connor (WA),507021167,3.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,Bullsbrook,504031058,1448.00,1670.00,2408.00,196.00,247.00,318.00,0.14,0.15,0.13,0.01,-0.02,0.00
89,Carabooda - Pinjar,505031256,275.00,302.00,341.00,53.00,42.00,62.00,0.19,0.14,0.18,-0.05,0.04,-0.01
28,Chidlow,504021049,2003.00,2529.00,3269.00,182.00,206.00,247.00,0.09,0.08,0.08,-0.01,-0.01,-0.02
126,Serpentine - Jarrahdale,506061144,1545.00,1778.00,2286.00,260.00,296.00,339.00,0.17,0.17,0.15,0.00,-0.02,-0.02
150,Hope Valley - Postans,507031172,92.00,35.00,31.00,11.00,0.00,3.00,0.12,0.00,0.10,-0.12,0.10,-0.02
151,Kwinana Industrial,507031173,60.00,4.00,15.00,14.00,0.00,0.00,0.23,0.00,0.00,-0.23,0.00,-0.23
16,Kings Park (WA),503021037,3.00,22.00,10.00,3.00,6.00,3.00,1.00,0.27,0.30,-0.73,0.03,-0.70
