,SA2 Name,2006-2011,2011-2016,changes
148,Bertram - Wellard (West),67%,0%,67%
149,Calista,84%,18%,117%
150,Hope Valley - Postans,86%,-15%,57%
151,Kwinana Industrial,0%,0%,0%
152,Parmelia - Orelia,57%,18%,86%
153,Casuarina - Wandi,642%,-23%,473%
154,Applecross - Ardross,145%,0%,145%
155,Bateman,100%,0%,100%
156,Bicton - Palmyra,67%,47%,145%
157,Booragoon,145%,0%,145%
158,Bull Creek,120%,0%,120%
159,Leeming,145%,0%,145%
160,Melville,145%,0%,145%
161,Murdoch - Kardinya,145%,0%,145%
162,Willagee,34%,25%,68%
163,Winthrop,69%,18%,100%
164,Baldivis,37%,13%,55%
165,Cooloongup,86%,0%,86%
166,Port Kennedy,67%,0%,67%
167,Rockingham,50%,22%,84%
168,Rockingham Lakes,0%,0%,0%
169,Safety Bay - Shoalwater,86%,0%,86%
170,Singleton - Golden Bay - Secret Harbour,37%,13%,55%
171,Waikiki,86%,15%,115%
172,Warnbro,63%,15%,88%
