,SA2 Code,SA2 Name,Education Level,Age Group,2006,2011,2016
85,505031106,Neerabup National Park,Total,Total,0.0,0.0,4.0
86,505031107,Tapping - Ashby - Sinagra,Total,Total,2380.0,5287.0,6007.0
87,505031108,Wanneroo,Total,Total,7052.0,9662.0,11782.0
88,505031255,Alkimos - Eglinton,Total,Total,0.0,37.0,4018.0
89,505031256,Carabooda - Pinjar,Total,Total,275.0,302.0,341.0
90,505031257,Two Rocks,Total,Total,715.0,877.0,1396.0
91,505031258,Yanchep,Total,Total,1028.0,1975.0,4090.0
92,506011110,Armadale - Wungong - Brookdale,Total,Total,4907.0,5889.0,7837.0
93,506011111,Ashendon - Lesley,Total,Total,0.0,0.0,3.0
94,506011112,Camillo - Champion Lakes,Total,Total,1690.0,1889.0,2273.0
95,506011113,Forrestdale - Harrisdale - Piara Waters,Total,Total,514.0,3464.0,9585.0
96,506011114,Kelmscott,Total,Total,3629.0,4252.0,4801.0
97,506011115,Mount Nasura - Mount Richon - Bedfordale,Total,Total,3160.0,3384.0,3881.0
98,506011116,Roleystone,Total,Total,2867.0,3226.0,3599.0
99,506011117,Seville Grove,Total,Total,2090.0,3368.0,4095.0
100,506021118,Belmont - Ascot - Redcliffe,Total,Total,4869.0,6315.0,7318.0
101,506021119,East Victoria Park - Carlisle,Total,Total,6617.0,8056.0,9583.0
102,506021120,Kewdale Commercial,Total,Total,0.0,0.0,0.0
103,506021121,Perth Airport,Total,Total,15.0,53.0,28.0
104,506021122,Rivervale - Kewdale - Cloverdale,Total,Total,7853.0,10191.0,13171.0
105,506021123,Victoria Park - Lathlain - Burswood,Total,Total,6206.0,8034.0,8820.0
106,506031124,Bentley - Wilson - St James,Total,Total,8477.0,10258.0,11122.0
107,506031125,Canning Vale - West,Total,Total,3674.0,4337.0,4818.0
108,506031126,Canning Vale Commercial,Total,Total,0.0,0.0,0.0
109,506031127,Cannington - Queens Park,Total,Total,4770.0,7304.0,9265.0
110,506031128,Parkwood - Ferndale - Lynwood,Total,Total,5670.0,6175.0,6819.0
111,506031129,Riverton - Shelley - Rossmoyne,Total,Total,5869.0,6718.0,7184.0
112,506031130,Welshpool,Total,Total,4.0,12.0,15.0
113,506031131,Willetton,Total,Total,7769.0,8451.0,9084.0
114,506041132,Beckenham - Kenwick - Langford,Total,Total,5941.0,7053.0,8244.0
115,506041133,Canning Vale - East,Total,Total,5850.0,9449.0,11281.0
116,506041134,Gosnells,Total,Total,6082.0,7556.0,8328.0
117,506041135,Huntingdale - Southern River,Total,Total,3947.0,5707.0,8246.0
118,506041136,Maddington - Orange Grove - Martin,Total,Total,3900.0,4642.0,5693.0
119,506041137,Thornlie,Total,Total,8398.0,9350.0,10197.0
120,506051138,Forrestfield - Wattle Grove,Total,Total,5164.0,6338.0,8297.0
121,506051139,High Wycombe,Total,Total,3683.0,4622.0,5299.0
122,506051140,Kalamunda - Maida Vale - Gooseberry Hill,Total,Total,6775.0,7133.0,7749.0
123,506051141,Lesmurdie - Bickley - Carmel,Total,Total,5095.0,5284.0,5719.0
124,506061142,Byford,Total,Total,1597.0,3162.0,6915.0
125,506061143,Mundijong,Total,Total,1770.0,2207.0,2736.0
126,506061144,Serpentine - Jarrahdale,Total,Total,1545.0,1778.0,2286.0
127,506071145,Como,Total,Total,6754.0,7754.0,8640.0
128,506071146,Manning - Waterford,Total,Total,5047.0,5461.0,6100.0
129,506071147,South Perth - Kensington,Total,Total,8917.0,9697.0,10156.0
130,507011148,Banjup,Total,Total,3370.0,6222.0,8272.0
131,507011150,Bibra Industrial,Total,Total,6.0,8.0,5.0
132,507011151,Bibra Lake,Total,Total,0.0,0.0,0.0
133,507011152,Coogee,Total,Total,2769.0,3242.0,4147.0
134,507011153,Coolbellup,Total,Total,2983.0,3463.0,3995.0
135,507011154,Hamilton Hill,Total,Total,3731.0,4510.0,5351.0
136,507011155,Henderson,Total,Total,5.0,3.0,8.0
137,507011158,North Coogee,Total,Total,0.0,319.0,1483.0
138,507011159,South Lake - Cockburn Central,Total,Total,4266.0,4756.0,5602.0
139,507011160,Spearwood,Total,Total,3543.0,3772.0,4820.0
140,507011161,Success - Hammond Park,Total,Total,2498.0,5096.0,7341.0
141,507011163,Yangebup,Total,Total,2334.0,2981.0,3462.0
142,507011259,Beeliar - Wattleup,Total,Total,1934.0,2641.0,3845.0
143,507011260,Jandakot,Total,Total,1352.0,1275.0,1323.0
144,507021164,East Fremantle,Total,Total,3533.0,3821.0,4362.0
145,507021165,Fremantle,Total,Total,7171.0,7863.0,9403.0
146,507021166,Fremantle - South,Total,Total,5838.0,6756.0,7894.0
147,507021167,O'Connor (WA),Total,Total,3.0,0.0,12.0
148,507031169,Bertram - Wellard (West),Total,Total,1345.0,3258.0,6530.0
149,507031170,Calista,Total,Total,2244.0,2775.0,3165.0
150,507031172,Hope Valley - Postans,Total,Total,92.0,35.0,31.0
151,507031173,Kwinana Industrial,Total,Total,60.0,4.0,15.0
