,SA2 Code,SA2 Name,Rent2006,Rent2011,Rent2016,Rent%2006-2011,Rent%2011-2016,Rent%2006_2016,House_avg2006,House_avg2011,House_avg2016,House%2006_2011,House%2011_2016,House%2006_2016,Income_total_2006,Income_total_2011,Income_total_2016,Income%2006_2011,Income%2011_2016,Income%2006_2016,2006 Bachelor 25 and over,2011 Bachelor 25 and over,2016 Bachelor 25 and over,Bachelor%2006-2011,Bacherlor%2011-2016,Bacherlor%2006-2016,Sum2006-2011,Sum2011-2016,Sum2006-2016
98,506011116,Roleystone,174,549,549,2.16,0,2.16,2.82,2.84,2.75,0,-0.03,-0.03,599,799,2499,0.33,2.13,3.17,794,952,1059,0.02,0,0.02,2.51,2.1,5.32
117,506041135,Huntingdale - Southern River,199,374,549,0.88,0.47,1.76,2.92,2.99,3.11,0.03,0.04,0.07,599,1999,2499,2.34,0.25,3.17,603,1244,2666,0.07,0.11,0.17,3.32,0.87,5.17
120,506051138,Forrestfield - Wattle Grove,199,374,549,0.88,0.47,1.76,2.64,2.67,2.74,0.01,0.03,0.04,599,1999,2499,2.34,0.25,3.17,754,1223,2087,0.05,0.06,0.11,3.28,0.81,5.08
121,506051139,High Wycombe,199,374,549,0.88,0.47,1.76,2.75,2.69,2.65,-0.02,-0.02,-0.04,599,1999,2499,2.34,0.25,3.17,474,746,992,0.03,0.03,0.06,3.23,0.73,4.95
28,504021049,Chidlow,199,324,549,0.63,0.69,1.76,2.85,2.66,2.68,-0.07,0.01,-0.06,599,399,2499,-0.33,5.26,3.17,182,206,247,-0.01,-0.01,-0.02,0.22,5.95,4.85
111,506031129,Riverton - Shelley - Rossmoyne,224,374,549,0.67,0.47,1.45,2.63,2.7,2.79,0.03,0.03,0.06,599,1999,2499,2.34,0.25,3.17,2218,2863,3547,0.05,0.07,0.12,3.09,0.82,4.8
73,505021094,Trigg - North Beach - Watermans Bay,224,324,549,0.45,0.69,1.45,2.34,2.39,2.47,0.02,0.04,0.06,599,3000,2499,4.01,-0.17,3.17,1224,1520,1923,0.07,0.05,0.11,4.55,0.61,4.79
156,507041177,Bicton - Palmyra,224,374,549,0.67,0.47,1.45,2.12,2.22,2.28,0.05,0.03,0.07,599,1999,2499,2.34,0.25,3.17,2032,2761,3335,0.07,0.03,0.1,3.13,0.78,4.79
157,507041178,Booragoon,224,549,549,1.45,0,1.45,2.43,2.47,2.55,0.02,0.03,0.05,599,1999,2499,2.34,0.25,3.17,2775,3467,4185,0.06,0.05,0.11,3.87,0.33,4.78
26,504011047,Morley,224,324,549,0.45,0.69,1.45,2.52,2.55,2.58,0.01,0.01,0.02,599,1999,2499,2.34,0.25,3.17,1441,2180,3186,0.05,0.06,0.11,2.85,1.01,4.75
144,507021164,East Fremantle,224,549,549,1.45,0,1.45,2.44,2.48,2.51,0.01,0.01,0.03,599,3000,2499,4.01,-0.17,3.17,1599,1889,2247,0.04,0.02,0.06,5.51,-0.14,4.71
153,507031261,Casuarina - Wandi,74,549,424,6.42,-0.23,4.73,3.28,3.09,2.84,-0.06,-0.08,-0.14,0,0,2499,0,0,0,167,190,784,0.01,0.1,0.11,6.37,-0.21,4.7
84,505031105,Mindarie - Quinns Rocks - Jindalee,224,549,549,1.45,0,1.45,3.04,3.08,3.01,0.01,-0.02,-0.01,599,1999,2499,2.34,0.25,3.17,1073,1663,2265,0.04,0.03,0.07,3.84,0.26,4.68
139,507011160,Spearwood,174,324,424,0.86,0.31,1.44,2.5,2.44,2.41,-0.02,-0.01,-0.03,599,1999,2499,2.34,0.25,3.17,433,670,1019,0.06,0.03,0.09,3.24,0.58,4.67
124,506061142,Byford,174,374,424,1.15,0.13,1.44,3.04,3.03,2.99,0,-0.01,-0.02,599,1999,2499,2.34,0.25,3.17,212,477,1304,0.02,0.04,0.06,3.51,0.41,4.65
22,503021043,Wembley - West Leederville - Glendalough,149,324,324,1.17,0,1.17,2.1,2.23,2.32,0.06,0.04,0.1,599,1999,2499,2.34,0.25,3.17,3653,4996,5935,0.09,0.03,0.12,3.66,0.32,4.56
69,505021090,Nollamara - Westminster,174,374,374,1.15,0,1.15,2.21,2.3,2.34,0.04,0.01,0.06,599,1999,2499,2.34,0.25,3.17,849,2051,3234,0.11,0.06,0.17,3.64,0.32,4.55
118,506041136,Maddington - Orange Grove - Martin,174,324,374,0.86,0.15,1.15,2.5,2.57,2.7,0.03,0.05,0.08,599,1249,2499,1.09,1,3.17,450,777,1214,0.05,0.05,0.1,2.03,1.25,4.5
41,504031062,Lockridge - Kiara,174,324,374,0.86,0.15,1.15,2.61,2.62,2.71,0,0.04,0.04,599,599,2499,0,3.17,3.17,419,621,1244,0.05,0.05,0.11,0.91,3.41,4.47
23,504011044,Bassendean - Eden Hill - Ashfield,174,324,374,0.86,0.15,1.15,2.33,2.39,2.42,0.03,0.01,0.04,599,599,2499,0,3.17,3.17,1402,1925,2635,0.05,0.06,0.1,0.94,3.39,4.46
36,504031057,Beechboro,174,374,374,1.15,0,1.15,2.91,2.95,2.96,0.01,0,0.02,599,1249,2499,1.09,1,3.17,739,980,1812,0.02,0.07,0.09,2.27,1.07,4.43
135,507011154,Hamilton Hill,174,324,374,0.86,0.15,1.15,2.24,2.27,2.27,0.01,0,0.01,599,599,2499,0,3.17,3.17,768,1220,1591,0.06,0.03,0.09,0.93,3.35,4.42
18,503021039,Mount Lawley - Inglewood,174,324,549,0.86,0.69,2.16,2.2,2.24,2.28,0.02,0.02,0.04,799,1999,2499,1.5,0.25,2.13,3503,4493,5119,0.06,0.02,0.08,2.44,0.98,4.41
109,506031127,Cannington - Queens Park,199,374,374,0.88,0,0.88,2.4,2.61,2.79,0.09,0.07,0.16,599,1999,2499,2.34,0.25,3.17,1048,2443,3863,0.11,0.08,0.2,3.42,0.4,4.41
83,505031104,Marangaroo,199,374,424,0.88,0.13,1.13,2.89,2.9,2.92,0,0.01,0.01,599,599,2499,0,3.17,3.17,509,719,906,0.04,0.03,0.07,0.92,3.34,4.38
97,506011115,Mount Nasura - Mount Richon - Bedfordale,174,374,374,1.15,0,1.15,2.66,2.73,2.69,0.03,-0.01,0.01,599,1999,2499,2.34,0.25,3.17,604,723,891,0.02,0.02,0.04,3.54,0.26,4.37
171,507051192,Waikiki,174,324,374,0.86,0.15,1.15,2.77,2.75,2.73,-0.01,-0.01,-0.01,599,1999,2499,2.34,0.25,3.17,416,612,869,0.03,0.03,0.06,3.22,0.42,4.37
1,502011022,Falcon - Wannanup,174,324,374,0.86,0.15,1.15,2.42,2.42,2.43,0,0,0,599,599,2499,0,3.17,3.17,374,548,789,0.02,0.02,0.04,0.88,3.34,4.36
5,502011026,Mandurah - East,174,324,374,0.86,0.15,1.15,2.41,2.35,2.4,-0.03,0.02,0,599,599,2499,0,3.17,3.17,215,243,345,0.01,0.02,0.03,0.84,3.36,4.35
33,504021054,Swan View - Greenmount - Midvale,174,324,374,0.86,0.15,1.15,2.56,2.53,2.49,-0.01,-0.01,-0.03,599,599,2499,0,3.17,3.17,723,885,1070,0.02,0.02,0.04,0.87,3.33,4.33
25,504011046,Maylands,174,324,324,0.86,0,0.86,1.77,1.96,2.04,0.1,0.04,0.15,599,1249,2499,1.09,1,3.17,1897,2954,3683,0.08,0.06,0.14,2.13,1.1,4.32
74,505021095,Tuart Hill - Joondanna,174,324,324,0.86,0,0.86,1.83,1.96,2.03,0.07,0.03,0.11,599,1999,2499,2.34,0.25,3.17,1609,2351,3093,0.07,0.06,0.13,3.34,0.34,4.27
88,505031255,Alkimos - Eglinton,74,74,374,0,4.05,4.05,0,2.33,2.75,0,0.18,0,0,0,2499,0,0,0,0,6,883,0.16,0.06,0.22,0.16,4.29,4.27
