,Unnamed: 0,SA2 Name,%2006-2011,%2011-2016,%2006-2016
118,118,Maddington - Orange Grove - Martin,0.86,0.15,1.15
119,119,Thornlie,0.45,0.15,0.67
120,120,Forrestfield - Wattle Grove,0.88,0.47,1.76
121,121,High Wycombe,0.88,0.47,1.76
122,122,Kalamunda - Maida Vale - Gooseberry Hill,0.67,0.47,1.45
123,123,Lesmurdie - Bickley - Carmel,0.45,0.69,1.45
124,124,Byford,1.15,0.13,1.44
125,125,Mundijong,0.57,1.0,2.16
126,126,Serpentine - Jarrahdale,-0.29,1.61,0.86
127,127,Como,0.63,0.69,1.76
128,128,Manning - Waterford,6.42,0.0,6.42
129,129,South Perth - Kensington,1.45,0.0,1.45
130,130,Banjup,1.0,0.0,1.0
131,131,Bibra Industrial,0.0,0.0,0.0
132,132,Bibra Lake,0.0,0.0,0.0
133,133,Coogee,0.55,0.29,1.0
134,134,Coolbellup,3.38,0.15,4.05
135,135,Hamilton Hill,0.86,0.15,1.15
136,136,Henderson,0.0,0.0,0.0
137,137,North Coogee,10.47,-0.35,6.42
138,138,South Lake - Cockburn Central,0.67,0.13,0.89
139,139,Spearwood,0.86,0.31,1.44
140,140,Success - Hammond Park,0.55,0.29,1.0
141,141,Yangebup,0.67,0.13,0.89
142,142,Beeliar - Wattleup,0.55,0.29,1.0
143,143,Jandakot,1.0,0.0,1.0
144,144,East Fremantle,1.45,0.0,1.45
145,145,Fremantle,6.42,0.0,6.42
146,146,Fremantle - South,0.34,4.55,6.42
147,147,O'Connor (WA),0.0,0.0,0.0
148,148,Bertram - Wellard (West),0.67,0.0,0.67
149,149,Calista,0.84,0.18,1.17
150,150,Hope Valley - Postans,0.86,-0.15,0.57
151,151,Kwinana Industrial,0.0,0.0,0.0
152,152,Parmelia - Orelia,0.57,0.18,0.86
153,153,Casuarina - Wandi,6.42,-0.23,4.73
154,154,Applecross - Ardross,1.45,0.0,1.45
155,155,Bateman,1.0,0.0,1.0
156,156,Bicton - Palmyra,0.67,0.47,1.45
157,157,Booragoon,1.45,0.0,1.45
158,158,Bull Creek,1.2,0.0,1.2
159,159,Leeming,1.45,0.0,1.45
160,160,Melville,1.45,0.0,1.45
161,161,Murdoch - Kardinya,1.45,0.0,1.45
162,162,Willagee,0.34,0.25,0.68
163,163,Winthrop,0.69,0.18,1.0
164,164,Baldivis,0.37,0.13,0.55
165,165,Cooloongup,0.86,0.0,0.86
166,166,Port Kennedy,0.67,0.0,0.67
167,167,Rockingham,0.5,0.22,0.84
168,168,Rockingham Lakes,0.0,0.0,0.0
169,169,Safety Bay - Shoalwater,0.86,0.0,0.86
170,170,Singleton - Golden Bay - Secret Harbour,0.37,0.13,0.55
171,171,Waikiki,0.86,0.15,1.15
172,172,Warnbro,0.63,0.15,0.88
